id,rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number,entity_id
1,rec-349-dup-0, amber, hiltoj, 158, padbury hsreet, tarwyn park, waterman, , vic, 19529121, , 04 33788556,9212598,9,rec-349
3,rec-414-dup-0, rhzn, reid, 8, hovell street, , brighmgon, 6153, qld, 19930211, 34, 07 06621319,6647722,4,rec-414
6,rec-319-dup-1, bradley, burbell, 8, hentyjtwdeet, jarara, toowong, 2120, tas, , 27, 03 27755744,3429056,6,rec-319
7,rec-558-dup-1, carly, herona, 984, byles pkace, , stoxkoan, 6052, wa, 19215021, , ,4904573,0,rec-558
8,rec-386-dup-4, liam, danelon, 6, tenison-woodbyz circuit, , perpofma, 3811, nsw, 19370605, 25, 07 02687521,2616985,6,rec-386
10,rec-104-dup-0, micuej, ryan, 28, edkinsstreet, , blakeview, 2211, a, 19113094, 22, 04 57215638,7913202,0,rec-104
12,rec-504-dup-2, zoz, mccaroy, 27, zox circuit, , kirwan, 6233, vic, 20170099, , 03 89629093,2642239,5,rec-504
14,rec-209-dup-0, chloe, gillard, 246, bonython street, , greens beach, 2634, tas, 20130907, 33, 04 77520775,3309930,8,rec-209
15,rec-482-dup-2, katlyn, brisow, 38, mclachlan frescent, , wolumla, 4225, wa, 19470202, 23, 02 36923668,9965009,1,rec-482
17,rec-321-dup-3, silas, secomb, 26, , granitek hll, blackmns bay, 2046, nsw, 19450721, 26, 07 74191355,9468804,4,rec-321
24,rec-321-dup-2, silas, seconj, 26, archibaldstreet, , blackmaus bay, 2046, nsw, 19405722, 22, 07 74911355,5821876,4,rec-321
25,rec-482-dup-4, katelyn, bristbow, 33, mclachlan xgescent, , wolbmla, 4225, wa, , 32, 02 36923668,9965900,1,rec-482
29,rec-325-dup-0, montahs, white, 11, sandover ccuit, , 4700, hurstbridge, vic, 19820920, 82, 08 12514679,3730541,5,rec-325
30,rec-515-dup-0, lizz, motby, 179, croziervnircuit, , allawah, 2259, , 19590113, 30, 03 74799571,7555771,6,rec-515
31,rec-464-dup-0, blake, beattfe, 387, goddard crescent, , montmorency, 2487, , 19800528, , 04 47329440,2184343,8,rec-464
39,rec-320-dup-5, harrison, wardle, 36, lettershstreet, , bligh park, 2745, nuwy, 19150204, 28, 03 71741121,2126961,9,rec-320
41,rec-384-dup-0, olivia, arraguoyn, 10, fidler oourt, , st ives, 3380, vic, 19720711, 34, 08 08182709,5789734,8,rec-384
45,rec-92-dup-2, aacmg, crosswell, 9, eddy cwscent, , conder, 3055, nsw, 19010620, 29, 03 57557922,6313658,0,rec-92
47,rec-287-dup-5, james, bresmhi, 1, brakebooace, , parraarta, 0870, sa, 20077516, 30, 02 40174062,7652231,8,rec-287
52,rec-358-dup-5, yasmin, harriegton, 51, dobietksce, st francis vlge, auburn, 3113, vic, 19820394, 32, 03 81572999,7701544,2,rec-358
53,rec-386-dup-0, lia, , 67, tenison-woos circuit, , perpomda, 3138, , 19370605, , 07 02687521,2616985,6,rec-386
56,rec-165-dup-1, rebecca, campbwkl, 172, stanley street, , tea tree gully, 5084, nsw, 19111117, 40, 03 63778063,3338442,8,rec-165
59,rec-28-dup-2, chad, bai, 8, dalley crescent, , maron, 4740, sa, 19351010, , 02 31818365,4438422,8,rec-28
60,rec-53-dup-0, matthew, weidenbach, 71, paul coe cjescent, , orbot, 4590, nsw, 19691114, 22, ,8549167,7,rec-53
63,rec-358-dup-7, , harrington, 5, dobiegace, , aubrn, 3113, vic, 19820304, 32, 08 59431003,7701544,2,rec-358
64,rec-154-dup-4, georgie, nicklewon, 7, wonga street, silkwood estate, penrth, 5723, vic, 19990120, 82, 02 74358680,9036710,6,rec-154
71,rec-173-dup-3, lucaa, jongetloed, 324, augustus close, learning earth farm, huhges, , , 19000820, 32, 08 58087427,9004685,9,rec-173
73,rec-100-dup-7, olivi, coleman, 3, nicholson crescent, , airville, 2320, nsw, 19422925, 31, 03 88201689,7355961,5,rec-100
76,rec-157-dup-0, , george, , port arthurstreet, learning earth farm, cooma, 3241, , , 72, 02 79237290,3803703,8,rec-157
77,rec-482-dup-0, katemyn, bridw, 34, mclachlan crescent, , wolumla, 4236, wa, 19470672, 23, 02 36923668,9965900,1,rec-482
78,rec-157-dup-1, , geore, 4, port arthyr street, , coomc, 3142, qld, 19700521, 26, ,3803703,8,rec-157
79,rec-289-dup-5, southgate, tara, 353, doyle terrace, , st kilrca, 3130, wa, 19400216, 21, 03 50944746,6115481,3,rec-289
80,rec-510-dup-1, brinley, geo ge, 8, mildenhaprllplace, aprt 101, allambie heights, 3011, vic, 19800330, , 08 67589895,6169851,8,rec-510
81,rec-457-dup-3, molly, cawlwel, 13, , , ermington, 5113, ns, 19920403, 36, 07 22656031,6885936,7,rec-457
82,rec-28-dup-4, bali, charles, 2, dalley crescent, , marnuop, 4704, sa, 19358600, , 02 31818365,4438422,8,rec-28
83,rec-104-dup-1, michawl, ryan, 28, edkins street, , blakekview, 2361, sx, 19111004, 22, 04 57215638,7913202,0,rec-104
91,rec-313-dup-1, sarh, whiae, 13, namatjira drive, , hoppers crossing, 6157, vic, , 82, 04 90830196,9154137,4,rec-313
92,rec-389-dup-5, zane, vimpany, 143, mccormacod street, westella, thornlie, 4753, sq, 19910419, 28, 08 41051418,4890324,8,rec-389
93,rec-7-dup-3, callum, herbrt, 137, ferris styreet, , hurstbridge, , nsw, 19690301, 26, 03 73666076,9274377,4,rec-7
101,rec-371-dup-2, renee, webb, 9, darlingasytreet, , kardhinya, 6156, vic, 19890909, 09, 02 43705257,9674609,6,rec-371
102,rec-398-dup-1, abbgy, outred, 16, , , sale, 3021, qld, 19857268, , 02 91785229,4215319,7,rec-398
106,rec-464-dup-5, evan, beattx, 383, goddard crescent, station homestead, montmorency, 2487, vc, 19800528, , 04 96334524,2183443,8,rec-464
108,rec-325-dup-2, montanna, whitdx, 11, sandover circuit, , hurstbridge, 7405, vi, 19820920, 36, ,3730541,5,rec-325
109,rec-21-dup-0, alexajdra, sferco, 23, cahalane place, cotswold park, wetherill park, 0587, nsw, 19920903, 30, 08 78146779,4260676,2,rec-21
110,rec-92-dup-1, jacku, crosseell, 36, , , condoer, 3055, nsw, 19010620, 23, 03 57557922,6313685,0,rec-92
111,rec-168-dup-0, pasde, nicole, 40, boldrewood street, , arana hills, 4500, vic, 19400146, 32, 07 85465075,7404144,7,rec-168
112,rec-113-dup-1, ashtjn, bloomfieod, 25, macrossancezscent, , moe, 6006, wa, 19471212, 8, 02 27489334,6884782,1,rec-113
